iter	Passed	Remaining
0	22	1083
1	24	583
2	26	416
3	27	321
4	31	282
5	32	240
6	34	213
7	54	283
8	56	255
9	79	317
10	81	287
11	83	265
12	85	242
13	88	228
14	91	212
15	94	199
16	97	189
17	99	177
18	102	166
19	104	156
20	109	151
21	131	167
22	151	177
23	152	165
24	169	169
25	174	161
26	187	159
27	203	159
28	213	154
29	214	143
30	215	132
31	217	122
32	218	112
33	228	107
34	243	104
35	253	98
36	267	93
37	268	84
38	280	79
39	282	70
40	290	63
41	291	55
42	293	47
43	302	41
44	307	34
45	308	26
46	315	20
47	322	13
48	331	6
49	340	0
